,Article
8785,Yiğidi öldürelim ama hakkını yemeyelim. Böyle bir eylem gerçekleşse yine İslam dünyasının gözyaşlarının sel olup akacağından emin olabilirdik. Muhtemelen biraz farkla. “Başörtüsü mücadelesi bunun için mi verildi :'(” gibi…
8786,"Başörtüsünün daima bu tür bir manipülatif kullanım alanının olması bir yana, kabul etmek gerekir ki başörtüsü Müslüman kalmanın bir aracı oldu. Bir seküler nasıl giyiniyorsa tıpkısının aynısı giyinen ve görünen, kartonun üzerine yazmadıkça Müslüman olduklarını hiç kimsenin anlayamayacağı Müslüman erkekler ise görünmezdi. Müslüman kadınların aksine partiye, bara davet edilen, alkol teklif edilen, el uzatılan, sarılıp öpülen erkekler, çoğunlukla bu görünmezliğin sefasını sürdüler."
8787,"Gündelik hayatlarında “İslami olan”a dair bir tartıları olmayan, “Müslüman olmama”nın konforuyla yaşayan, sosyal yaşantılarında Müslümanlıklarına dair hiçbir hatırlatma ile karşılaşmayan bu erkekler; İslamofobi onlara aslında kim olduklarını hatırlattığında Müslüman olmuş oluyorlar. Erkekler etnik bir kimliğe sahip olur gibi “Müslüman” olduklarında ise haram, mahrem, mahremiyet gibi kavramlara artık sadece etimoloji bakmaya başlıyor."
8788,"Mahremiyete dair taleplerin gitgide daha gülünç bulunduğu, el sıkışmayı reddetmenin büyük cesaret gerektirdiği, “Free Hugs” tişörtleriyle önüne gelene sarılan sevgi pıtırcıklarından, tanımadığın birini öpme deneylerine dört bir yanımızın kuşatıldığı şu dünyada elbette ki mesele Müslüman erkeklerin görünmezliğinden ibaret değil. Zaten Müslümanlığın bir soybağına dönüşmesi de erkeklere has değil. Fakat burada bariz bir ikiyüzlülük olduğunu görmezden gelemeyiz."
8789,"Vidyoların bir versiyonunda şöyle çarpıcı bir sahne var: Gözleri bağlı Müslüman erkeğin yanına iki Müslüman genç kız yaklaşıyor. Kızlardan biri şöyle diyor: “Sana sarılamam, çünkü ben Müslümanım.” İnsan içinden “Öyleyse hanginiz Müslümansınız?” demeden edemiyor."
8790,
8791,"İslam’ın ne tek bir yorumu var ne de ben en doğruyu bildiğimi iddia edecek kadar deliyim. Sarılmaya, öpüşmeye, tokalaşmaya dair farklı görüşler pek ala mevcut olabilir. Fakat burada “Bana sarıl çünkü ben Müslümanım” ile “Sana sarılamam çünkü ben Müslümanım” arasındaki uçurum mezhep ya da yorum farklılığından falan kaynaklanmıyor. Ortada kadınların İslamı ile erkeklerin İslamını böyle taban tabana zıt düşüren bir yorum farkı mevcutken, hangisinin İslam olduğuna karar vermemiz gerekiyor."
8792,"Ya da soruyu şöyle somutlaştırayım: Hayat benim yolumu ileride İslamofobisi bol bir memlekete düşürürse, kentin meydanında gözlerimi bantlayıp kollarımı açarak gelen geçenden bana sarılmasını isteyeyim mi istemeyeyim mi? İstersem, benim vidyomun da arkasına duygusal bir Arapça ilahi koyup gururla paylaşır mısınız, paylaşmaz mısınız?"
8793,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
8794,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
8795,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
8796,Yazar: Huri
8797,
8798,"Başlıkta yazılı olan gerçekten bir soru benim için. Hatta mücadele ayrı bir soru, “mücadelede değer hiyerarşisi olur mu” ayrı bir soru. Belki de zihnimde dönen soru işaretlerinin önüne yanlış kelimeleri diziyorum. Ama ben tartışmayı bir yerden kurmaya çalışacağım, ilerisini birlikte getirelim istiyorum."
8799,"Mücadele, mücadelemiz, mücadelelerimiz nerede ve neyle başlıyor; bunu bir düşünelim. Bu soruya hepimizin birkaç cevap birden vereceği muhakkak. Kurumlar, oluşumlar, cemaatler, cemiyetler, aile, sosyal medya vs. karşısında yahut içinde kendimizi tanımladığımız noktada başlıyor mücadelemiz desek yanlış bir şey söylemiş olmayız değil mi? (Ama eksiktir muhakkak.) Peki ben kimim diye sorsam ve şöyle yüzeysel bir sıralama yapsam;"
8800,İnsan
8801,Kadın
8802,Müslüman bir kadın
8803,Başörtülü Müslüman bir kadın
8804,"Heh, geldik zurnanın zırt dediği yere. Şimdi başörtülü Müslüman kadının mücadelesini konuşalım. Peki hangi başörtülü Müslüman kadının hangi mücadelesi? Tek bir başörtüsü mücadelesinden söz edebilir miyiz? Şöyleki meselenin serencamını hepimiz biliyoruz. Üniversitelerin kapıları başörtülü kadınlara kapandı. Bu kadınların bir kısmı okullarını terk edip evlerine döndüler, bir kısmı yurtdışına gitti, bir kısmı başını açıp okumaya devam etti. Her biri de tercihleri doğrultusunda bedel ödediler. (Bu elbette çok eksik bir anlatı, ama tartışmamız için yeterli.) Kimisi bu yasakla ansızın karşılaştı, kimisi yasağın içinde doğdu. Yasağın içinde doğanlar da kendilerince tercihlerde bulundular. Peruk, şapka… Okulun kapısına kadar örtülü gelip, eşiği örtüsüz geçme… Kimisi de başınıza çalın seküler kurumlarınızı dedi ve başka alanlarda ve platformlarda kendilerini geliştirmeyi tercih ettiler."
8805,"Bütün bu tercihler içinde yerine göre zorunluluğu yerine göre de belli imkanları ki biz buna kültürel ve ekonomik sermaye de diyebiliriz, barındırıyordu. Mesela maddi yönden yeterli imkanlara sahip olanlar ya da kendisine finansal destek sağlayabilcek sosyal ağa sahip kişiler okumak için yurtdışına çıkabiliyordu. Öte yandan ailesinin maddi imkansızlıkları nedeniyle bir meslek edinme zorunluluğu içinde olanlar bu tür imkanlara sahip olmadığı için başını açarak okumaya mecbur kalıyordu. İçinde zaman zaman imkan zaman zaman da zorunluluk barındıran bu tercihler hem hissi olarak hem de dayanışma açısından özneler arasında kırılmalara yol açtı. Bu kırılmalardaki önemli noktalardan biri de bu zorunlulukların, yükümlülüklerin ve sahip olunan sermayenin farkını gözetmeksizin kendi mücadelesini daha değerli kılma çabası olmuştur kanımca. En azından ben yaşadığım karşılaşmalarda bunu görüyorum. Çünkü zorunluluklara ve imkansızlıklara boyun eğip başını açarak üniversiteye girme eylemi kendi içinde mücadeleye dair bir işaret barındırmadığı gibi mücadeleden kaçmaktı; ancak sahip olunan sermayeyi kullanarak alın okulunuzu başınıza çalın diyerek yurt dışına çıkmak, başka kurumların faaliyetlerinde yer almak (bunu yapabilmek için de bu kurumlara ulaşabilecek sosyal ağa ve imkana sahip olmak gerekir) tam anlamı ile bir mücadele idi. (Aslında bir noktanın daha altını çizmem gerekiyor; benim burada bahsettiğim daha çok bireysel tercihler… Bir ağızdan çıkan sözle yapılan kitlesel tercihler hem siyasi hem sosyolojik açıdan hem de benim bu yazıda peşine düştüğüm soru açısından başka şekillerde tartışılabilir.)"
8806,"Benim başlıkta sorduğum soru tam olarak neyin mücadele olup, neyin olmadığına dair hükmün verildiği noktada başlıyor. Niyetim terazinin “hafif” tartan yerine ağırlık yapıp denge kurmak değil. Ödediğimiz bedeller yüzünden birbirimize ne kadar daha sırtımızı döneceğiz? Kimimizin bu yasak yüzünden üniversite hayatı gecikti, kimimiz “hayatı” geciktirmedi ama hayatı bir eşikle ikiye bölündü, kimimiz en onurlu mücadeleyi verdiğine inandı, inandırıldı ama diplomalılarla yanyana geldiğinde ne mücadelesi ne de kendisi onların yanında daha “itibarlı” oldu. Bu saydıklarımın hepsi de başörtülü olmanın bedeliydi, dolayısıyla ödenen her bir bedel başlı başına bir mücadeleydi. O halde birinin diğerinden daha değerli olduğuna nasıl hükmedebiliriz?"
8807,"Bu saydıklarım içinde benim de bir yerim var elbette. Ayrıntıya girmeye gerek, ama ben bu yazıyı on iki yaşından beri zaten bir eşikle ikiye bölünen hayatımı, “Başını okulda açıyorsun değil mi, okuyun okuyun profesör olacaksınız” diyerek çarpanlarına ayıran Müslüman eşe dosta ithaf edebilirim."
8808,"Yukarıda sürdürdüğüm tartışmaya ek olarak, başörtüsü meselenin sadece üniversitelerde kalmadığını da unutmamak gerek tabii. Başörtülü kadınlar bir yandan kamuda çalışma imkanı bulamazken, diğer yandan çalışma imkanı buldukları mecralarda emek sömürüsüne maruz kaldılar. Yanlış anlaşılmasın, burada madur edebiyatı yapmaya çalışmıyorum. Başörtüsü konusunda, kamuda da üniversitelerde de belli düzeyde bir esneklik olduğu aşikar. Fakat hala belli sektörlerde imaj vs. açısından sorunlar yaşandığını da gözlemliyoruz, duyuyoruz.  Bir yandan başörtülü çalışanlara dair vitrin kaygısı yaşanırken, diğer yandan zaten başörtülüsün bu sektörde başka bir yerde iş bulamazsın diyerek düşük ücretle çalıştırılan kadınların da olduğunu biliyoruz. Yani bir yerlerde başörtülü olmaktan dolayı örtük de olsa bir mücadele sürdürülüyor kanımca."
8809,"“Başörtüsü mücadelesi” söz konusu olduğunda tartışılan başka bir mesele de “Başörtüsü mücadelesi bunun için mi verildi?” sorusu. Bu yorum ile sosyal medyada paylaşılan bir kaç görsel görmüşsünüzdür sanırım. Tek bir başörtüsü mücadelesi var mı diye soruyordum ya, işte alın size başka bir başörtüsü mücadelesi. Yaşananlar, içinden geçilen politik ve sosyal süreçler başörtüsünü herkesin gözünde farklı bir temsile dönüştürdü. Hal böyle olunca herkes zihnindeki temsil üzerinden konuşmaya başladı. Bu temsiller üzerinden, başörtülü kadınların sosyal medya paylaşımları ve dahi profil fotoğrafları, katıldıkları sosyal etkinlikler vs. konuşulacak, tartışmaya açılacak, “başörtüsü mücadelesi” çerçevesinde tartılacak, eleştirilecek, yeri gelince yuhalanacak bir alana dönüştü.  Bunun kime ne yararı var, diye sormadan edemiyorum. Bu söylemin tamamında olmasa da, belli bir kısmında bir erkek parmağı görüyorum nedense! Yasağı hiç bir şekilde doğrudan deneyimlememiş, başörtülülerle gereken dayanışmayı kurup kurmadığı konusunda kendisine hiç özeleştiri yapmamış, günü gelmiş bundan nemalanmış, yerine göre sırtını dönüp yoluna gitmiş kişilerin mücadelenin üstüne konup kendine iktidar alanı yaratma çabası değilse nedir bu o halde?"
8810,"Geldiğim noktada şunları söyleyebilirim ancak. Bir şey olmak bir mücadelenin içine doğmak oluyor çoğu zaman, siz isteseniz de istemeseniz de… Ne olduğumuza dair mücadelemizi örtülü ya da açık bir şekilde veriyoruz zaten. Okulun kapısından geri dönmek de bir mücadeleydi, başını açıp eşiği geçmek de. Çünkü hayat sadece başörtülü kadın olmanıza imkan vermiyor. Başka zorunluluklar da var, başka varoluşlarımız da… Mesela başörtüsünden önce başka engellerle karşılaştığı için okuyamayan, çalışamayan başörtülü kadınları “başörtüsü temsili” ya da “mücadelesi”nde nereye koyacağız? Bu noktada belki üstünlük yarışına girmeden, ödenen bedelleri yarıştırmadan, imkanların, lükslerin hatta zayıflıkların farkına vararak frekansımızı biraz daha birbirimizi anlamaya ayarladığımızda mücadele(leri)miz daha sahih ve sağlam olacak."
8811,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
8812,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
8813,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
8814,                                                                              Konuk Yazar: İrem
8815, 
8816,"Arada kalmanın o çekişmeli ruh halini hepimiz iliklerimize kadar hissetmişizdir. Lakin bu ülkede İslamiyet’i yaşamaya çalışan ve aynı zamanda dünya düzenini sorgulayan kadınlar olarak arada kalmak bizler için bir ikametgah olmuş durumda. Bir kitabı okurken kendinizle özleştirdiğiniz karakterin tanımlamalarına bir sayfada “Evet işte aynen öyle hissediyorum.” derken arka sayfada “Bunun durumla ne alakası var şimdi?” der gibi yaşıyoruz. Son zamanlarda bu hissi Reçel-blog okurken de yaşıyorum. Hepimizin hemfikir olabileceği başlıklar altından bambaşka sloganlara pencere açıyoruz. Bazen sırf yorumları okumak için dolaşıyorum sayfalarda, fikir farklılıklarını görme açısından çok geniş ve besleyici bir pencere oluyor bana. Fakat peş peşe gelen yazılarda “Üreten, sorgulayan fakat gelenekselci bir yaşam var olamaz.” fikrinin yerleştiğini sezinliyorum. Oysa annelerinden daha fazla eğitim almış, onlara benzemeyen fakat onlara öykünmekten de geri duramayan bir nesil olarak günlük hayatta “saçma” diye tabir ettiğimiz insanı boğan, haksız yere baskılayan düşünceleri çürütürken hak dediğimiz o gerçek çizgiyi korumamız gerekiyor. Bu gerekliliğin en büyük nedeni ise bizden sonra geleceklerin yani bizim yetiştireceklerimiz neslin o çizgiyi şahsen görmeyi bırakın üzerine yazılanları dahi okumadan büyüyecek olması. Nasıl ki toplumun temelini şekillendiren kadını daralan bir pencerede düşünmek mümkün değilse toplumdan soyutlanmış, tabiri caizse “kafasına göre takılan” bireylerle bir gelecek düşünmekte mümkün değil."
8817,"Toplumumuzda erkeklerin yaptığı ve yapmadığı her şeyin faturasının kadınlara kesilmesinden rahatsızız. Oysa kabullenemediğimiz asıl şey kadınların yakındığı çoğu şeyin yine kadınlar eliyle yapılıyor olması. Blogdaki birçok yazıda da ele alındığı gibi muhafazakar kesimin çektiği sıkıntılardan gelecek nesli korumak adına takındığı tavırlar sayesinde çarpık bir muhafazakarlaşma içerisindeyiz. Acaba özgürlük diye naralar attığımız şeyi limitsizlik olarak gördüğümüzden midir etrafımızdaki bu karmaşa? Eskiden kızlara, gelinlere koruma kisvesi altında uygulanan baskıcı tavırların kadın-erkek ilişkilerine dair oluşturduğu çarpık algı zincirlerini kırmak adına girişilen değersizleştirme çabalarının sonunda geleceğimiz yere de bakmalıyız artık. Aile içinde ve dışında kadınların nasıl davranması gerektiğine ilişkin örf, anane, töre, adet, gelenek gibi isimler altında birçok farklı çerçeve var. Çoğu temelsiz, yapıla gelmişliğinde İslamiyet’le arasındaki bağı koparmış şeyler. Edep, haya, görgü, ahlak nedense bunların gölgesinde kalmış hep. Peki bu yanlışlardan kurtulalım derken oluşturduğumuz yeni çerçevenin sınırları olmazsa nasıl bir ortak noktada buluşmayı bekliyoruz? Hele ki günümüzde” trend” denen şeyin gölgesinin her yeri kapladığını ve zifiri karanlıkta fil tasviri yapmaya çalıştığımızı düşünürsek, gelenekselci denilebilecek aile yaşantısından uzaklaşma konusunda gereğinden fazla bağrı açıklık yapmıyor muyuz sizce de?"
8818,"Ben şimdilik araftayım, hatta olması gerekeni sorgulayan biri olarak büyük ihtimalle her zaman da arafta kalacağım. Nasıl ki günümüzde yaşayan Müslüman bir kadın olarak her alanda hareketlerimin kısıtlanmasından, eleştirilmesinden,  üzerinden anlam çıkartarak tartışma üretilmesinden, haksız görülmekten, çaresiz bırakılmaktan rahatsızsam ve bunlara karşı duruyorsam, aynı şekilde ortak akıl anlayışının sınırlarını zorlayan “aşırı” diye tabir edilecek limitsizliklerden de rahatsızım. Hiçbir kadının yüksek tahsil görmek, çalışmak, evlenmek, çocuk doğurmak, mantı yapmak, hanım hanımcık olmak, modayla ilgilenmek gibi zorunlulukları olmadığı gibi hiçbir kadının da bunlar üzerinden insan sarraflığı yapmasını mazur göremiyorum. Tüm bunlar yüzünden elimize pankart alıp bir değişiklik yapmak için slogan atmaya başlamadan önce her konuya bu şerhi düşmek gerektiğini düşünüyorum."
8819,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
8820,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
8821,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
8822,Yazar:Huri
8823,
8824, 
8825,"“Eşim gözüne yazık, niye yapıyorsun, diyor. Evet pek bir getirisi yok ama orada iki çocuk büyüyor, görüyorsun. Ne yapabilirim!”"
8826,"Bu sözler geçen yıl misafirliğe gittiğim yerde tanıştığım bir ablanın sözleri. Bir tekstil firması için parça başı bluz, tişört vs. süsleme işi yapıyor.  Her iş karşılığında sakız fiyatına denk düşecek bir ücret alıyor. Kocası ise asgari ücret ile çalışıyor. İlkokul çağında iki çocukları var."
8827,"Ablanın bu iki cümlesi onlarca tartışmanın kilit noktası ama bu tartışmaları tek seferde masaya yatırma imkânımız olmadığı için bir-iki noktaya değineceğim. Son dönemlerde; yoksulluk ve kadın, kadın istihdamı, kadın emeği, ev içi emek, esnek çalışma, sosyal politikalar ve bütün bu saydıklarımın neoliberalizm ile keşiştiği nokta üzerine önemli çalışmalar mevcut. Bu ablanın sözleri de bütün bu söylediklerim üzerine yazılıp çizilenleri bir yandan çok net ve çıplak hali ile resmediyor, öte yandan da nasıl bir yapının içinde bulunduğumuzu gösteriyor."
8828,"Kira, faturalar, çocukların okul masrafları… Bunların hepsi için para gerekiyor, o halde abla da “para” edecek bir şeyler yapmalı. Birçok kadının bu çıkmazın içinde olduğunu gören çakallar durumdan istifade etmenin bir yolunu buluyorlar hemen. Kadınların evde arz-talep ilişkisini düşünmeden, gündelik uğraş olarak kendileri için ortaya koydukları emeğe ve üretime akbabanın leşe üşüşmesi gibi üşüşmeyi iyi biliyorlar. O gün anlattığı kadarıyla zihnim beni yanıltmıyorsa, bu abla parça başına yirmi beş kuruş alıyorsa, bu işleri dağıtan adam bir buçuk lira alıyor. Evinin işlerini yapıp, çocuklarıyla ilgilendikten sonra kalan zamanda da bu işi yapacağını düşünürsek ablanın günde kaç tişört işlediğini tahmin edebiliriz; ne kadar “kazandığını” da."
8829,"Parça başı çalışmayla ilgili beni en çok vuran bu karşılaşma olmuştu. Ama kadının gündelik hayattaki üretimini bir “değere” dönüştürme çabasına çocukluğumdan beri şahidim. Evlerinde örgü örüp, el işleriyle uğraşıp, mantı vs. hazırlayarak para kazanmaya çalışan kadınlar tanımışızdır (Annem de hayatının belli bir döneminde dışarıya elişi yapmak diye tabir ettiği o işi yapmıştır). Mesela şimdilerde en vasatı bir-bir buçuk milyara kiralanan gelinliklerin  evde süsleme işini yapan kadınlar var. Bir gelinliğin süsleme işi bir- iki haftada bitiyor, bunun karşılığı da kırk lira oluyor."
8830,"Baştaki örneği verirken ortaya konulan üretimin ve karşılığının nasıl olduğunu biraz göstermeye çalıştım. Şimdi buradan başka bir noktaya geçmek istiyorum. O da kadının çalışması meselesi. Bu konuya dair en basit tartışmalardan, en üst düzey entelektüel veya dini tartışmalara kadar kadının çalışması ya da çalışmamasına dair sunulan argümanların aynı olduğu aşikâr. Lafı uzatıp, bu argümanları burada tartışmaya gerek duymuyorum. Sadece yukarıda örneklerini verdiğim kadınların bu tartışmaların içinde olmadığına işaret etmek istiyorum. Parçabaşı iş yapan kadınlar, merdiven silen kadınlar, gündeliğe giden kadınlar ve daha niceleri bu tartışmaların içinde yoklar çünkü toplumdaki iktidar ve sermaye “dengeleri” açısından bir tehdit oluşturmuyorlar. Öte yandan zorunluluktan dolayı içinde bulundukları bu durum, ucuz emek açısından mevcut çarkın avlamaya fırsat kolladığı bir şey. Buraya kadar getirdiğimiz meselede sadece evli kadınları ve onların aile geçimini sağlama noktasındaki çalışma durumunu ve zorunluluğunu konuştuğumuzu da üzülerek belirtmek zorundayım. Meselenin çerçevesini daha da genişletmek gerektiğinin farkındayım, fakat tartışmayı daha ziyade karşılaştığım durumlar üzerinden sürdürmeye çalışıyorum."
8831,"Nihai noktada, yoksul bir ailede kadının çalışma zorunluluğu kocası ile arasında bir dayanışma kurulmasını sağlayabiliyor. Ama yoksul olmayan kesimlerde mesele biraz daha farklı ilerliyor. Evin geçimi noktasında, kadınların zorunluluğu söz konusu olmadığı için “keyfî tercihi” tartışılıyor. Yoksul olmayan ailelerde kadınlara “Senin evi geçindirmek gibi bir yükümlülüğün yok, o halde evde otur ve diğer ‘yükümlülüklerini’ yerine getir” deniliyorken, yoksul bir ailede kadının çalışma zorunluluğu, çalıştığı koşullar hiç gündeme gelmiyor ve “kadının çalışması” tartışmalarında yer almıyor."
8832,"Buradan hareketle birincisi kadınlar arasında sınıf farkları olduğunu görmeyen ve kadının çalışması denilince yalnızca “beyaz yakalı” olarak çalışmayı merkeze alan tartışmaların nasıl kendi topuğuna sıktığını ve belirli kadınların hayatından, toplumun belli kesimlerindeki kadınlardan ne kadar kopuk olduğunu görebiliriz. İkincisi mücadelelerimizin de bulunduğumuz sınıfla çerçevelendiğini anlayıp, imtiyazlarımızın farkına varabiliriz. Mesela ben klavye başında yazımı yazarken, çok fazla sayıda kadın, tekstil atölyelerinde, evlerinde, tarlada çalışmak, üretmek ve mücadele etmekle meşgul. Bu yazıyla onlara en azından selam etmiş olalım."
8833,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
8834,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
8835,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
8836,Yazar: Fatma Büşra Helvacıoğlu
8837,
8838, 
8839,"Ev kızlarını nasıl bilirsiniz? Muhtelif. Dışarıda çalışmayı tercih etmeyen, çalışmak istese de aile baskısından dolayı çalışamayan, evliliği aileden kurtuluş olarak görse de bir türlü kısmet olmadığı için hababam ev işi yapan ve denetim altında tutulan, bazen bunu bir hastalığa dönüştürüp bütün hayat enerjisini ev işi yapmaktan devşiren, kimi zaman dikiş-nakışlarıyla, yaptığı yemekleri dışarıya satıp para kazanan, bazen anne-babasından emanet kardeşlerine bakan, bütün evin düzeninden sorumlu olan… Bense başka bir ev kızlığından bahsedeceğim."
8840,"Bir süredir müzmin ev kızıyım. Okulun, piyasanın, dışarıda hızla akıp giden gündelik hayatın bütün koşturmacasından uzakta; evin işlerini ve kendi işlerini hallettikten sonra sakin sakin çay içip, istediği şeyle uğraşan birisi yani. Evde durmanın pek de makbul olmadığı şu zamanda gönüllü ev kızlığının bazı tatlı yanları var."
8841,"Bir kere istenmeyen misafirden kaçış biletidir. Hepimizin sevmediği misafirler vardır. Ancak kariyer basamaklarını hızla tırmanan, pür makyajlı ve şekil saçlı ablalar attıkları her adımla ilgili sorguya çekilir, abiler ne zaman daha fazla para kazanıp ev taksidine girecekleri yönünde baskılara maruz kalırken beni kimse öyle uzun uzadıya sorgulamaz. Bu büyük rahatlıktır. Birkaç genel soruya cevap verdikten sonra gece boyunca sofra kurar, kaldırır, mutfağa koşar, çayları tazelerim. Yani mutfak-salon arası alan çoğu zaman kadınların ruhunu daraltan bir yer olurken, yetmiş kere yapılmış ve hiçbir amacı bulunmayan siyasi konuşmalara girmek istemeyen şahsım için bir özgürlük alanına dönüşür."
8842,"Salonda yapılacak iş bitti de evlilik ve para muhabbetlerinin yine beni bir yerimden yakalayacağını mı hissettim! Kendimi mutfağa kilitlerim. Mutfağa kilitler ve bulaşık yıkamaya başlarım! Düşünsenize bir, yıkanması gereken onca tabak, bardak, çatal, kaşık, kap kacak, tencereler vb. dururken ve siz bulaşık makinesi olmayan bir evde bütün bunlarla cebelleşirken kimse gelip de “Ne zaman evleniyorsun?”, “İşe girmeyi düşünmüyor musun?”, “Kaç para alıyorsun?”, “Görüştüğün kimse yok mu?” sorgulamalarına girmez, tuhaf yöntemlerle fikirlerinize meydan okumaya kalkmaz ve 25’in yüzde 25’inin dörtte üçü kaç eder gibi dahice soruların cevabını istemez. Hem bütün işler hallolur -işleri birisinin yapması gerekiyordur neticede ve anneniz bütün gün yemek yapmaktan yorulmuştur-, hem de “Bunun elinden hiçbir iş gelmiyor” diyen ev ahalisi ters köşeye yatar. İş yaparken kafamda beliren fikirler, yeni yazı konuları, efenime söyliyim öykülerden filan bahsetmiyorum bile!"
8843,"Tabii ömrü hayatımda işitemeyeceğim “Aman kızımız da pek hamaratmış” gibi cümleler de duyarım bazen iş güç arasında. İnsana bir iyi geliyor ki sormayın, anamın karnından hamur yoğurur halde doğmuş hissediyorum kendimi, sonra da bu “hamarat” lafının kadınlar daha çok iş yapsın diye hazırlanmış bir tuzak olduğunu fark ediyorum gerçi."
8844,"İşin şakası bir yana bu stratejiyi bazı ağır durumlarda da kullanmıyor değilim. Bütün sülale ağlıyorsa, evden ölü çıkmışsa, evde ağır hasta varsa kalkıp kesinlikle iş yaparım mesela. Mutfaktan salona, oradan diğer odalardaki misafirlere koşturur; sürekli sofra kurup kaldırır, insanlara bir şeyler ikram ederim."
8845,"Çünkü her zaman iş yapacak birilerinin olması gerekir etrafta; her durumda. Düğünde de, cenazede de, ilkbaharda da, sonbaharda da iş yapacak kadınların etrafta bulunması gerekir."
8846,Müzmin ev kızları cenaze evini toplarken hayatın devamlılığını sağlar yani biraz da.
8847, 
8848,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
8849,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
8850,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
8851,Yazar: Feyza
8852,
8853,"Yakın zamanda doktora tezimi yazmayı bitirdim. Ya da bir yerde noktayı koydum diyelim. Bitirdiğimden beri Reçel’e uzatmalı öğrenciliğim hakkında birşeyler yazmak istiyordum. Kısmet bugüneymiş, ya da beni yazmaya sürükleyecek bir acı haberi, bir hocamın vefatını bekliyormuşum."
8854,"Ferhunde Özbay, nurlar içinde yatsın, Sosyoloji bölümüne ilk girdiğimde araştırma dersi veriyordu. Milli Eğitim’in özenle tıkadığı merak ve soru sorma kanallarımızı sabırla açmaya çalışan hocalarımızdandı. O zamandan itibaren ders aldığım birçok hocamdan ilhamla, sosyal bilimci/araştırmacı olmak nedir diye sorsalar “Soru sormayı bilmektir” diyebilirim."
8855,"Bütün bunları öğrenirken, bilhassa Sosyoloji bölümünün kadınları bana bir şey daha yaptılar. Soruları kendi hayatımdan ve kendi hayatıma doğru sormayı öğrettiler. Kendi çevremle, ailemle, mahallemle kurduğum ilişkilere başka bir gözle bakmayı, incelikle örülmüş araştırmalarının içeriklerini ve yöntemlerini öğrenirken öğrendim. Tıpkı gündelik hayatımızdan kazandığımız bir kadınlık bilgisi olduğu gibi, bu kadınlardan bir kadın araştırmacı olma bilgisi edindim. Feminizm de hayatıma böyle girdi: bir itirazın ötesinde, bir anlama çabası, kadınların hayatlarını, farklı mücadelelerini, erkeklerle kadınların birbirlerine göre konumlanışlarını, hayatı, bedenleri, hikâyeleri ve mekânı örmelerine dair soru sorma becerisi olarak. "
